name,atk,level,EP,NA
"""A"" Cell Breeding Device",0.0,1.0,0,12.0
"""A"" Cell Incubator",0.0,1.0,10,22.0
"""A"" Cell Recombination Device",0.0,1.0,30,42.0
"""A"" Cell Scatter Burst",0.0,1.0,10,22.0
"""Infernoble Arms - Almace""",0.0,1.0,40,52.0
"""Infernoble Arms - Durendal""",0.0,1.0,50,62.0
"""Infernoble Arms - Hauteclere""",0.0,1.0,30,42.0
"""Infernoble Arms - Joyeuse""",0.0,1.0,30,42.0
"""The Sinful Spoils Hunter Fiend""",0.0,1.0,50,62.0
1st Movement Solo,0.0,1.0,20,32.0
3-Hump Lacooda,500.0,3.0,20,29.0
"30,000-Year White Turtle",1250.0,5.0,0,14.9
4-Starred Ladybug of Doom,800.0,3.0,10,22.0
7,0.0,1.0,50,62.0
7 Colored Fish,1800.0,4.0,0,21.0
7 Completed,0.0,1.0,20,32.0
8-Claws Scorpion,300.0,2.0,0,9.0
A Cat of Ill Omen,500.0,2.0,20,31.0
A Deal with Dark Ruler,0.0,1.0,20,32.0
A Feather of the Phoenix,0.0,1.0,-10,2.0
A Feint Plan,0.0,1.0,0,12.0
A Hero Emerges,0.0,1.0,20,32.0
A Hero Lives,0.0,1.0,40,52.0
A Legendary Ocean,0.0,1.0,20,32.0
A Major Upset,0.0,1.0,20,32.0
A Man with Wdjat,1600.0,4.0,20,39.0
A Rival Appears!,0.0,1.0,20,32.0
"A Shattered, Colorless Realm",0.0,1.0,60,72.0
A Wild Monster Appears!,0.0,1.0,20,32.0
A Wingbeat of Giant Dragon,0.0,1.0,10,22.0
A-Assault Core,1900.0,4.0,30,52.0
A-Team: Trap Disposal Unit,300.0,2.0,10,19.0
A-to-Z-Dragon Buster Cannon,4000.0,10.0,30,71.2
A.I. Challenge You,0.0,1.0,20,32.0
A.I. Contact,0.0,1.0,20,32.0
A.I. Love Fusion,0.0,1.0,20,32.0
A.I. Meet You,0.0,1.0,40,52.0
A.I. Shadow,0.0,1.0,50,62.0
A.I.'s Ritual,0.0,1.0,30,42.0
A.I.'s Show,0.0,1.0,20,32.0
A.I.dle Reborn,0.0,1.0,30,42.0
A.I.Q,0.0,1.0,30,42.0
A/D Changer,100.0,1.0,10,23.0
Abaki,1700.0,4.0,10,30.0
Abare Ushioni,1200.0,4.0,20,35.0
ABC-Dragon Buster,3000.0,8.0,20,51.5
Abominable Chamber of the Unchained,0.0,1.0,50,62.0
Abominable Unchained Soul,3000.0,8.0,20,51.5
Abomination's Prison,0.0,1.0,50,62.0
Absolute Crusader,1800.0,4.0,30,51.0
Absolute End,0.0,1.0,0,12.0
Absolute King - Megaplunder,2000.0,6.0,0,22.0
Absolute King Back Jack,0.0,1.0,10,22.0
Absolute Powerforce,0.0,1.0,40,52.0
Absorb Fusion,0.0,1.0,50,62.0
Absorbing Jar,600.0,3.0,30,40.0
Absorbing Kid from the Sky,1300.0,4.0,10,26.0
Absorouter Dragon,1200.0,7.0,40,53.714285714285715
Abyss Actor - Comic Relief,1000.0,3.0,10,24.0
Abyss Actor - Curtain Raiser,1100.0,4.0,60,74.0
Abyss Actor - Evil Heel,3000.0,8.0,20,51.5
Abyss Actor - Extras,100.0,1.0,40,53.0
Abyss Actor - Funky Comedian,300.0,1.0,40,55.0
Abyss Actor - Hyper Director,800.0,1.0,40,60.0
Abyss Actor - Leading Lady,1500.0,4.0,40,58.0
Abyss Actor - Liberty Dramatist,1500.0,4.0,20,38.0
Abyss Actor - Mellow Madonna,1800.0,7.0,70,89.71428571428572
Abyss Actor - Sassy Rookie,1700.0,4.0,50,70.0
Abyss Actor - Super Producer,1600.0,1.0,30,58.0
Abyss Actor - Superstar,2500.0,7.0,40,66.71428571428572
Abyss Actor - Trendy Understudy,700.0,2.0,20,33.0
Abyss Actor - Twinkle Little Star,1000.0,4.0,30,43.0
Abyss Actor - Wild Hope,1600.0,4.0,70,89.0
Abyss Actors Back Stage,0.0,1.0,20,32.0
Abyss Actors' Curtain Call,0.0,1.0,20,32.0
Abyss Actors' Dress Rehearsal,0.0,1.0,40,52.0
Abyss Dweller,1700.0,4.0,20,40.0
Abyss Flower,750.0,2.0,0,13.5
Abyss Keeper,1500.0,1.0,30,57.0
Abyss Playhouse - Fantastic Theater,0.0,1.0,50,62.0
Abyss Prop - Wild Wagon,0.0,1.0,10,22.0
